School,Wins
Air Force,1
Akron,12
Albany,4
American,5
Bellarmine,5
Belmont,5
Binghamton,8
Boston,4
Boston College,6
Bowling Green,12
Bradley,4
Bryant,10
Bucknell,7
Butler,4
CSUN,2
Cal Poly,7
Cal State Bakersfield,7
Cal State Fullerton,7
California Baptist,6
Campbell,8
Canisius,4
Central Arkansas,8
Central Connecticut State,1
Central Florida,7
Charlotte,11
Chicago State,3
Clemson,15
Cleveland State,7
Coastal Carolina,3
Colgate,8
College of Charleston,10
Columbia,1
Cornell,13
Creighton,8
Dartmouth,5
Dayton,14
DePaul,6
Delaware,7
Denver,15
Detroit Mercy,3
Drake,9
Drexel,9
Duke,8
Duquesne,11
East Tennessee State,5
Eastern Illinois,2
Elon,10
Evansville,11
FIU,6
Fairfield,3
Fairleigh Dickinson,10
Florida Atlantic,7
Florida Gulf Coast,4
Fordham,8
Furman,9
Gardner-Webb,13
George Mason,13
George Washington,3
Georgetown,11
Georgia Southern,6
Georgia State,4
Gonzaga,6
Grand Canyon,5
Green Bay,11
Harvard,4
High Point,11
Hofstra,14
Holy Cross,4
Houston Christian,8
Howard,2
IU Indy,5
Illinois-Chicago,7
Incarnate Word,6
Indiana,11
Iona,11
Jacksonville,4
James Madison,8
Kansas City,14
Kentucky,6
LaSalle,6
Lafayette,8
Le Moyne,7
Lehigh,6
Liberty,7
Lindenwood (MO),11
Lipscomb,3
Long Island,8
Longwood,5
Louisville,6
Loyola Maryland,4
Loyola Marymount,6
Loyola-Chicago,5
Manhattan,5
Marist,7
Marquette,6
Marshall,15
Maryland,9
Massachusetts,13
Memphis,7
Mercer,6
Mercyhurst,8
Merrimack,3
Michigan,9
Michigan State,5
Milwaukee,9
Missouri St.,12
Monmouth,8
Mount St. Mary's,3
NC State,10
New Hampshire,7
New Jersey Institute of Technology,6
Niagara,2
North Carolina,9
North Florida,7
Northern Illinois,3
Northern Kentucky,3
Notre Dame,7
Oakland,9
Ohio State,16
Old Dominion,7
Omaha,7
Oral Roberts,7
Oregon State,9
Pacific,4
Penn State,5
Pittsburgh,14
Portland,7
Presbyterian College,6
Providence,13
Purdue-Fort Wayne,7
Queens (NC),5
Quinnipiac,7
Radford,0
Rhode Island,7
Rider,14
Robert Morris,9
Rutgers,6
SIUE,12
Sacred Heart,8
Saint Francis (PA),7
Saint Joseph's (PA),4
Saint Louis,8
Saint Mary's (CA),2
Saint Peter's,2
San Diego,15
San Francisco,7
San Jose State,6
Santa Clara,5
Seattle,12
Seton Hall,11
Siena,7
South Carolina,10
South Florida,6
Southern Ind.,2
Southern Methodist,12
St. Bonaventure,6
St. John's,9
St. Thomas (MN),4
Stanford,9
Stetson,5
Stonehill,6
Stony Brook,3
Syracuse,7
Temple,5
Tulsa,3
UAB,4
UC Davis,10
UC Irvine,8
UC Riverside,5
UC San Diego,4
UC Santa Barbara,12
UCLA,7
UConn,8
UMBC,8
UMass Lowell,6
UNC Asheville,7
UNC Greensboro,10
UNCW,6
UNLV,5
USC Upstate,3
UT-Rio Grande Valley,4
Utah Tech,4
Utah Valley,8
VMI,5
Vermont,16
Virginia,11
Virginia Commonwealth,4
Virginia Tech,7
Wake Forest,12
Washington,8
West Virginia,13
Western Illinois,8
Western Michigan,12
William & Mary,5
Winthrop,5
Wisconsin,7
Wofford,8
Wright St.,7
Xavier,4
Yale,4
